label,▲hydrophobicity_PRAM900101.G1,▲hydrophobicity_PRAM900101.G2,▲hydrophobicity_PRAM900101.G3,▲hydrophobicity_ARGP820101.G1,▲hydrophobicity_ARGP820101.G2,▲hydrophobicity_ARGP820101.G3,▲hydrophobicity_ZIMJ680101.G1,▲hydrophobicity_ZIMJ680101.G2,▲hydrophobicity_ZIMJ680101.G3,▲hydrophobicity_PONP930101.G1,▲hydrophobicity_PONP930101.G2,▲hydrophobicity_PONP930101.G3,▲hydrophobicity_CASG920101.G1,▲hydrophobicity_CASG920101.G2,▲hydrophobicity_CASG920101.G3,▲hydrophobicity_ENGD860101.G1,▲hydrophobicity_ENGD860101.G2,▲hydrophobicity_ENGD860101.G3,▲hydrophobicity_FASG890101.G1,▲hydrophobicity_FASG890101.G2,▲hydrophobicity_FASG890101.G3,▲normwaalsvolume.G1,▲normwaalsvolume.G2,▲normwaalsvolume.G3,▲polarity.G1,▲polarity.G2,▲polarity.G3,▲polarizability.G1,▲polarizability.G2,▲polarizability.G3,▲charge.G1,▲charge.G2,▲charge.G3,▲secondarystruct.G1,▲secondarystruct.G2,▲secondarystruct.G3,▲solventaccess.G1,▲solventaccess.G2,▲solventaccess.G3
1,0.25,0.441176471,0.308823529,0.448529412,0.264705882,0.286764706,0.566176471,0.183823529,0.25,0.441176471,0.176470588,0.382352941,0.544117647,0.316176471,0.139705882,0.360294118,0.367647059,0.272058824,0.308823529,0.235294118,0.455882353,0.419117647,0.330882353,0.25,0.382352941,0.360294118,0.257352941,0.367647059,0.382352941,0.25,0.066176471,0.852941176,0.080882353,0.338235294,0.360294118,0.301470588,0.433823529,0.25,0.316176471
1,0.248120301,0.45112782,0.30075188,0.496240602,0.218045113,0.285714286,0.586466165,0.15037594,0.263157895,0.496240602,0.15037594,0.353383459,0.609022556,0.285714286,0.105263158,0.345864662,0.37593985,0.278195489,0.353383459,0.255639098,0.390977444,0.45112782,0.345864662,0.203007519,0.353383459,0.398496241,0.248120301,0.383458647,0.413533835,0.203007519,0.067669173,0.857142857,0.07518797,0.360902256,0.315789474,0.323308271,0.390977444,0.248120301,0.360902256
1,0.238461538,0.476923077,0.284615385,0.476923077,0.238461538,0.284615385,0.615384615,0.138461538,0.246153846,0.461538462,0.192307692,0.346153846,0.584615385,0.284615385,0.130769231,0.330769231,0.423076923,0.246153846,0.346153846,0.238461538,0.415384615,0.476923077,0.307692308,0.215384615,0.346153846,0.415384615,0.238461538,0.423076923,0.361538462,0.215384615,0.076923077,0.846153846,0.076923077,0.353846154,0.346153846,0.3,0.430769231,0.238461538,0.330769231
1,0.228346457,0.464566929,0.307086614,0.480314961,0.220472441,0.299212598,0.590551181,0.141732283,0.267716535,0.464566929,0.181102362,0.354330709,0.582677165,0.291338583,0.125984252,0.322834646,0.401574803,0.275590551,0.330708661,0.251968504,0.417322835,0.464566929,0.338582677,0.196850394,0.354330709,0.409448819,0.236220472,0.401574803,0.401574803,0.196850394,0.062992126,0.874015748,0.062992126,0.362204724,0.322834646,0.31496063,0.440944882,0.228346457,0.330708661
1,0.201550388,0.534883721,0.263565891,0.465116279,0.255813953,0.279069767,0.589147287,0.162790698,0.248062016,0.441860465,0.209302326,0.348837209,0.581395349,0.310077519,0.108527132,0.341085271,0.426356589,0.23255814,0.325581395,0.255813953,0.418604651,0.480620155,0.279069767,0.240310078,0.348837209,0.434108527,0.217054264,0.426356589,0.333333333,0.240310078,0.07751938,0.868217054,0.054263566,0.286821705,0.372093023,0.341085271,0.410852713,0.201550388,0.387596899
1,0.240601504,0.481203008,0.278195489,0.473684211,0.293233083,0.233082707,0.609022556,0.187969925,0.203007519,0.406015038,0.248120301,0.345864662,0.578947368,0.323308271,0.097744361,0.353383459,0.398496241,0.248120301,0.330827068,0.248120301,0.421052632,0.466165414,0.263157895,0.270676692,0.345864662,0.390977444,0.263157895,0.428571429,0.30075188,0.270676692,0.082706767,0.834586466,0.082706767,0.30075188,0.330827068,0.368421053,0.428571429,0.240601504,0.330827068
1,0.190909091,0.572727273,0.236363636,0.545454545,0.227272727,0.227272727,0.645454545,0.145454545,0.209090909,0.5,0.227272727,0.272727273,0.654545455,0.245454545,0.1,0.290909091,0.490909091,0.218181818,0.363636364,0.290909091,0.345454545,0.572727273,0.245454545,0.181818182,0.272727273,0.518181818,0.209090909,0.509090909,0.309090909,0.181818182,0.063636364,0.881818182,0.054545455,0.281818182,0.3,0.418181818,0.409090909,0.190909091,0.4
1,0.240740741,0.518518519,0.240740741,0.481481481,0.240740741,0.277777778,0.592592593,0.148148148,0.259259259,0.481481481,0.231481481,0.287037037,0.638888889,0.240740741,0.12037037,0.388888889,0.388888889,0.222222222,0.296296296,0.342592593,0.361111111,0.527777778,0.296296296,0.175925926,0.287037037,0.453703704,0.259259259,0.416666667,0.407407407,0.175925926,0.074074074,0.842592593,0.083333333,0.287037037,0.333333333,0.37962963,0.416666667,0.240740741,0.342592593
1,0.240740741,0.490740741,0.268518519,0.462962963,0.222222222,0.314814815,0.601851852,0.092592593,0.305555556,0.462962963,0.222222222,0.314814815,0.62037037,0.259259259,0.12037037,0.351851852,0.388888889,0.259259259,0.351851852,0.268518519,0.37962963,0.509259259,0.296296296,0.194444444,0.314814815,0.444444444,0.240740741,0.425925926,0.37962963,0.194444444,0.092592593,0.824074074,0.083333333,0.351851852,0.314814815,0.333333333,0.425925926,0.240740741,0.333333333
1,0.23853211,0.504587156,0.256880734,0.486238532,0.220183486,0.293577982,0.577981651,0.137614679,0.28440367,0.504587156,0.174311927,0.321100917,0.623853211,0.247706422,0.128440367,0.357798165,0.394495413,0.247706422,0.357798165,0.266055046,0.376146789,0.486238532,0.311926606,0.201834862,0.321100917,0.440366972,0.23853211,0.412844037,0.385321101,0.201834862,0.082568807,0.853211009,0.064220183,0.321100917,0.348623853,0.330275229,0.394495413,0.23853211,0.366972477
